18.75	22.95	3
21.45	21.45	3
20.5	22.85	3
20.65	24.3	3
21.7	23.8	3
23.1	21.7	3
13.35	28.45	5
12.4	27.85	5
12.2	28.65	5
12.9	26.5	5
11.15	28.7	5
10.5	28.35	5
10.25	27.25	5
12.6	24.05	5
10.05	25.95	5
8.5	27.05	5
7.55	26.3	5
9.4	25.55	5
10.55	24.35	5
5.4	25.25	5
4.3	24	5
6.1	22.6	5
6.4	21.95	5
8.45	17.2	5
12.3	22.75	5
9.95	19.8	5
12	20	5
11.4	19.25	5
15.2	18.2	5
31.9	4.4	1
32.8	6	1
35.45	4.1	1
32.3	7.65	1
31.8	9.45	1
34.7	8	1
34.55	8.85	1
31.2	12	1
33.1	12.75	1
35.8	11.55	1
34.05	13.05	1
11.05	9.1	2
14.3	12.45	2
14.45	10.75	2
12.35	8.45	2
12.4	7.1	2
15.1	10.25	2
16.75	11.5	2
15.05	7.8	2
10.6	5.05	2
13.9	5.3	2
12.75	3	2
15.15	7.1	2
15.25	2.7	2
15.7	6.35	2
17.3	4.8	2
18.15	1.95	2
20.45	2.8	2
18.65	4.75	2
16.6	7.95	2
20.8	4.7	2
20.55	5.75	2
17.5	8.25	2
18	8.55	2
20.05	6.95	2
24.15	4.55	2
20	8.2	2
16.95	10.35	2
19	11.65	2
20.7	10.65	2
20.95	10.2	2
21.75	8.2	2
23	7.35	2
23.7	8.85	2
5.15	3.45	2
4.95	4.05	2
7.1	4.3	2
8.5	3.25	2
32.45	16.75	4
30.55	18.8	4
31.55	19.65	4
33.7	17	4
31.75	20.25	4
31.55	22.2	4
30.95	24.15	4
33.65	21.9	4
33.8	20.4	4
36.35	20.6	4
34.6	22.05	4
34.9	23.5	4
33.6	23.9	4
33.7	24.85	4
30.25	24.3	4
31.25	27.85	4
33.85	26.05	4
34.65	26.85	4
9.7	12.1	2
5.7	12.25	5
7.85	11.85	2
7.65	11.1	2
8.3	10.55	2
